"","coast","lag","quantile","direction","proportion"
"598","west",10,0.1,"a",0.107907743742658
"599","west",10,0.1,"b",0.119987575675432
"600","west",10,0.1,"x",0.204162826420891
"601","west",10,0.2,"a",0.115634920634921
"602","west",10,0.2,"b",0.123412698412698
"603","west",10,0.2,"x",0.212380952380953
"604","west",10,0.3,"a",0.107565452839843
"605","west",10,0.3,"b",0.139877906646199
"606","west",10,0.3,"x",0.21747434476093
"607","west",10,0.4,"a",0.119102904319623
"608","west",10,0.4,"b",0.118808049535604
"609","west",10,0.4,"x",0.202694235588972
"610","west",10,0.5,"a",0.0852062807881774
"611","west",10,0.5,"b",0.117072044334976
"612","west",10,0.5,"x",0.169104064039409
"613","west",10,0.6,"a",0.0870388669301713
"614","west",10,0.6,"b",0.10836627140975
"615","west",10,0.6,"x",0.15233860342556
"616","west",10,0.7,"a",0.0571895424836601
"617","west",10,0.7,"b",0.129084967320261
"618","west",10,0.7,"x",0.143790849673202
"619","west",10,0.8,"a",0.0208333333333333
"620","west",10,0.8,"b",0.0982142857142858
"621","west",10,0.8,"x",0.119047619047619
"622","west",10,0.9,"a",0
"623","west",10,0.9,"b",0.104166666666667
"624","west",10,0.9,"x",0.104166666666667
"625","west",10,1,"a",0
"626","west",10,1,"b",0
"627","west",10,1,"x",0
"628","west",12,0,"a",0.115267503436009
"629","west",12,0,"b",0.151253638127577
"630","west",12,0,"x",0.240756124181421
"631","west",12,0.1,"a",0.124036776000723
"632","west",12,0.1,"b",0.134987575675432
"633","west",12,0.1,"x",0.235291858678955
"634","west",12,0.2,"a",0.133492063492063
"635","west",12,0.2,"b",0.134523809523809
"636","west",12,0.2,"x",0.241349206349206
"637","west",12,0.3,"a",0.128398786173176
"638","west",12,0.3,"b",0.152698419466712
"639","west",12,0.3,"x",0.251128190914776
"640","west",12,0.4,"a",0.142912428129147
"641","west",12,0.4,"b",0.118808049535604
"642","west",12,0.4,"x",0.226503759398496
"643","west",12,0.5,"a",0.112984058565955
"644","west",12,0.5,"b",0.117072044334976
"645","west",12,0.5,"x",0.196881841817187
"646","west",12,0.6,"a",0.0870388669301713
"647","west",12,0.6,"b",0.10836627140975
"648","west",12,0.6,"x",0.15233860342556
"649","west",12,0.7,"a",0.0571895424836601
"650","west",12,0.7,"b",0.129084967320261
"651","west",12,0.7,"x",0.143790849673202
"652","west",12,0.8,"a",0.0208333333333333
"653","west",12,0.8,"b",0.0982142857142858
"654","west",12,0.8,"x",0.119047619047619
"655","west",12,0.9,"a",0
"656","west",12,0.9,"b",0.104166666666667
"657","west",12,0.9,"x",0.104166666666667
"658","west",12,1,"a",0
"659","west",12,1,"b",0
"660","west",12,1,"x",0
"661","west",14,0,"a",0.13924680653246
"662","west",14,0,"b",0.169925317325572
"663","west",14,0,"x",0.283407106475867
"664","west",14,0.1,"a",0.141905213698383
"665","west",14,0.1,"b",0.147954052588778
