"site","events","cooccurrence","proportion","lon","lat","quantile"
"Sea Point",23,2,0.0869565217391304,18.382165,-33.918469,0.6
"Sea Point",17,1,0.0588235294117647,18.382165,-33.918469,0.7
"Sea Point",12,0,0,18.382165,-33.918469,0.8
"Sea Point",6,0,0,18.382165,-33.918469,0.9
"Sea Point",1,0,0,18.382165,-33.918469,1
"Sodwana",33,0,0,32.7333333333,-27.4247222222,0
"Sodwana",29,0,0,32.7333333333,-27.4247222222,0.1
"Sodwana",26,0,0,32.7333333333,-27.4247222222,0.2
"Sodwana",23,0,0,32.7333333333,-27.4247222222,0.3
"Sodwana",20,0,0,32.7333333333,-27.4247222222,0.4
"Sodwana",17,0,0,32.7333333333,-27.4247222222,0.5
"Sodwana",13,0,0,32.7333333333,-27.4247222222,0.6
"Sodwana",10,0,0,32.7333333333,-27.4247222222,0.7
"Sodwana",7,0,0,32.7333333333,-27.4247222222,0.8
"Sodwana",4,0,0,32.7333333333,-27.4247222222,0.9
"Sodwana",1,0,0,32.7333333333,-27.4247222222,1
"Storms River Mouth",29,8,0.275862068965517,23.899327,-34.024482,0
"Storms River Mouth",26,8,0.307692307692308,23.899327,-34.024482,0.1
"Storms River Mouth",23,7,0.304347826086957,23.899327,-34.024482,0.2
"Storms River Mouth",20,5,0.25,23.899327,-34.024482,0.3
"Storms River Mouth",17,5,0.294117647058824,23.899327,-34.024482,0.4
"Storms River Mouth",15,3,0.2,23.899327,-34.024482,0.5
"Storms River Mouth",12,2,0.166666666666667,23.899327,-34.024482,0.6
"Storms River Mouth",9,2,0.222222222222222,23.899327,-34.024482,0.7
"Storms River Mouth",6,2,0.333333333333333,23.899327,-34.024482,0.8
"Storms River Mouth",3,1,0.333333333333333,23.899327,-34.024482,0.9
"Storms River Mouth",1,0,0,23.899327,-34.024482,1
"Tsitsikamma East",36,13,0.361111111111111,23.9105555556,-34.0269444444,0
"Tsitsikamma East",32,12,0.375,23.9105555556,-34.0269444444,0.1
"Tsitsikamma East",29,10,0.344827586206897,23.9105555556,-34.0269444444,0.2
"Tsitsikamma East",25,8,0.32,23.9105555556,-34.0269444444,0.3
"Tsitsikamma East",22,7,0.318181818181818,23.9105555556,-34.0269444444,0.4
"Tsitsikamma East",18,5,0.277777777777778,23.9105555556,-34.0269444444,0.5
"Tsitsikamma East",14,4,0.285714285714286,23.9105555556,-34.0269444444,0.6
"Tsitsikamma East",11,2,0.181818181818182,23.9105555556,-34.0269444444,0.7
"Tsitsikamma East",8,2,0.25,23.9105555556,-34.0269444444,0.8
"Tsitsikamma East",4,1,0.25,23.9105555556,-34.0269444444,0.9
"Tsitsikamma East",1,0,0,23.9105555556,-34.0269444444,1
"Tsitsikamma West",25,7,0.28,23.64566803,-33.98066281,0
"Tsitsikamma West",22,6,0.272727272727273,23.64566803,-33.98066281,0.1
"Tsitsikamma West",20,5,0.25,23.64566803,-33.98066281,0.2
"Tsitsikamma West",17,4,0.235294117647059,23.64566803,-33.98066281,0.3
"Tsitsikamma West",15,3,0.2,23.64566803,-33.98066281,0.4
"Tsitsikamma West",13,3,0.230769230769231,23.64566803,-33.98066281,0.5
"Tsitsikamma West",10,2,0.2,23.64566803,-33.98066281,0.6
"Tsitsikamma West",8,2,0.25,23.64566803,-33.98066281,0.7
"Tsitsikamma West",5,0,0,23.64566803,-33.98066281,0.8
"Tsitsikamma West",3,0,0,23.64566803,-33.98066281,0.9
"Tsitsikamma West",1,0,0,23.64566803,-33.98066281,1
"Ystervarkpunt",22,7,0.318181818181818,21.73972222,-34.40277778,0
"Ystervarkpunt",19,7,0.368421052631579,21.73972222,-34.40277778,0.1
"Ystervarkpunt",17,7,0.411764705882353,21.73972222,-34.40277778,0.2
"Ystervarkpunt",15,7,0.466666666666667,21.73972222,-34.40277778,0.3
"Ystervarkpunt",13,6,0.461538461538462,21.73972222,-34.40277778,0.4
"Ystervarkpunt",11,5,0.454545454545455,21.73972222,-34.40277778,0.5
"Ystervarkpunt",9,4,0.444444444444444,21.73972222,-34.40277778,0.6
"Ystervarkpunt",7,4,0.571428571428571,21.73972222,-34.40277778,0.7
"Ystervarkpunt",5,3,0.6,21.73972222,-34.40277778,0.8
"Ystervarkpunt",3,2,0.666666666666667,21.73972222,-34.40277778,0.9
"Ystervarkpunt",1,0,0,21.73972222,-34.40277778,1
